test_id,Day,Demand,holdingcost,orderingcost
1,1,93,7,480
1,2,53,7,480
1,3,50,7,480
1,4,35,7,480
1,5,11,7,480
1,6,87,7,480
1,7,0,7,480
1,8,41,7,480
1,9,54,7,480
1,10,69,7,480
1,11,68,7,480
1,12,22,7,480
1,13,42,7,480
1,14,57,7,480
1,15,85,7,480
1,16,58,7,480
1,17,86,7,480
1,18,25,7,480
1,19,37,7,480
1,20,11,7,480
2,1,3,7,218
2,2,47,7,218
2,3,74,7,218
2,4,35,7,218
2,5,37,7,218
2,6,79,7,218
2,7,36,7,218
2,8,23,7,218
2,9,52,7,218
2,10,77,7,218
2,11,54,7,218
2,12,79,7,218
2,13,35,7,218
2,14,84,7,218
2,15,14,7,218
2,16,89,7,218
2,17,46,7,218
2,18,25,7,218
2,19,8,7,218
2,20,93,7,218
3,1,48,9,700
3,2,67,9,700
3,3,19,9,700
3,4,48,9,700
3,5,15,9,700
3,6,13,9,700
3,7,41,9,700
3,8,100,9,700
3,9,86,9,700
3,10,100,9,700
3,11,20,9,700
3,12,35,9,700
3,13,58,9,700
3,14,1,9,700
3,15,75,9,700
3,16,87,9,700
3,17,1,9,700
3,18,8,9,700
3,19,63,9,700
3,20,36,9,700
4,1,91,6,119
4,2,65,6,119
4,3,25,6,119
4,4,76,6,119
4,5,16,6,119
4,6,42,6,119
4,7,64,6,119
4,8,22,6,119
4,9,36,6,119
4,10,0,6,119
4,11,77,6,119
4,12,26,6,119
4,13,89,6,119
4,14,37,6,119
4,15,3,6,119
4,16,40,6,119
4,17,73,6,119
4,18,21,6,119
4,19,6,6,119
4,20,87,6,119
5,1,22,5,652
5,2,44,5,652
5,3,1,5,652
5,4,59,5,652
5,5,20,5,652
5,6,85,5,652
5,7,85,5,652
5,8,83,5,652
5,9,4,5,652
5,10,1,5,652
5,11,76,5,652
5,12,72,5,652
5,13,17,5,652
5,14,40,5,652
5,15,98,5,652
5,16,43,5,652
5,17,16,5,652
5,18,19,5,652
5,19,10,5,652
5,20,88,5,652
6,1,96,8,979
6,2,46,8,979
6,3,63,8,979
6,4,50,8,979
6,5,83,8,979
6,6,97,8,979
6,7,22,8,979
6,8,97,8,979
6,9,20,8,979
6,10,66,8,979
6,11,96,8,979
6,12,0,8,979
6,13,72,8,979
6,14,6,8,979
6,15,12,8,979
6,16,88,8,979
6,17,75,8,979
6,18,84,8,979
6,19,66,8,979
6,20,7,8,979
7,1,47,2,475
7,2,63,2,475
7,3,31,2,475
7,4,18,2,475
7,5,19,2,475
7,6,14,2,475
7,7,91,2,475
7,8,71,2,475
7,9,61,2,475
7,10,86,2,475
7,11,26,2,475
7,12,35,2,475
7,13,61,2,475
7,14,34,2,475
7,15,91,2,475
7,16,94,2,475
7,17,68,2,475
7,18,71,2,475
7,19,66,2,475
7,20,50,2,475
8,1,69,9,347
8,2,92,9,347
8,3,73,9,347
8,4,39,9,347
8,5,7,9,347
8,6,70,9,347
8,7,85,9,347
8,8,73,9,347
8,9,79,9,347
8,10,86,9,347
8,11,14,9,347
8,12,14,9,347
8,13,6,9,347
8,14,9,9,347
8,15,62,9,347
8,16,71,9,347
8,17,80,9,347
8,18,43,9,347
8,19,96,9,347
8,20,49,9,347
9,1,25,5,383
9,2,82,5,383
9,3,9,5,383
9,4,54,5,383
9,5,67,5,383
9,6,45,5,383
9,7,61,5,383
9,8,17,5,383
9,9,73,5,383
9,10,13,5,383
9,11,24,5,383
9,12,66,5,383
9,13,25,5,383
9,14,52,5,383
9,15,40,5,383
9,16,54,5,383
9,17,61,5,383
9,18,100,5,383
9,19,94,5,383
9,20,32,5,383
10,1,54,1,589
10,2,15,1,589
10,3,14,1,589
10,4,17,1,589
10,5,12,1,589
10,6,10,1,589
10,7,90,1,589
10,8,59,1,589
10,9,0,1,589
10,10,70,1,589
10,11,37,1,589
10,12,77,1,589
10,13,11,1,589
10,14,91,1,589
10,15,61,1,589
10,16,85,1,589
10,17,87,1,589
10,18,59,1,589
10,19,18,1,589
10,20,79,1,589
11,1,64,7,616
11,2,26,7,616
11,3,12,7,616
11,4,98,7,616
11,5,95,7,616
11,6,15,7,616
11,7,2,7,616
11,8,71,7,616
11,9,64,7,616
11,10,49,7,616
11,11,68,7,616
11,12,98,7,616
11,13,48,7,616
11,14,10,7,616
11,15,34,7,616
11,16,54,7,616
11,17,60,7,616
11,18,66,7,616
11,19,27,7,616
11,20,35,7,616
12,1,37,6,895
12,2,63,6,895
12,3,0,6,895
12,4,11,6,895
12,5,21,6,895
12,6,93,6,895
12,7,100,6,895
12,8,24,6,895
12,9,78,6,895
12,10,49,6,895
12,11,65,6,895
12,12,86,6,895
12,13,85,6,895
12,14,95,6,895
12,15,20,6,895
12,16,93,6,895
12,17,10,6,895
12,18,1,6,895
12,19,23,6,895
12,20,89,6,895
13,1,59,9,535
13,2,1,9,535
13,3,94,9,535
13,4,98,9,535
13,5,39,9,535
13,6,22,9,535
13,7,29,9,535
13,8,22,9,535
13,9,64,9,535
13,10,85,9,535
13,11,38,9,535
13,12,3,9,535
13,13,12,9,535
13,14,50,9,535
13,15,62,9,535
13,16,47,9,535
13,17,45,9,535
13,18,14,9,535
13,19,50,9,535
13,20,31,9,535
14,1,99,10,987
14,2,75,10,987
14,3,73,10,987
14,4,11,10,987
14,5,22,10,987
14,6,36,10,987
14,7,63,10,987
14,8,64,10,987
14,9,100,10,987
14,10,98,10,987
14,11,24,10,987
14,12,75,10,987
14,13,16,10,987
14,14,95,10,987
14,15,66,10,987
14,16,39,10,987
14,17,39,10,987
14,18,78,10,987
14,19,41,10,987
14,20,88,10,987
15,1,55,4,515
15,2,54,4,515
15,3,63,4,515
15,4,67,4,515
15,5,100,4,515
15,6,94,4,515
15,7,58,4,515
15,8,90,4,515
15,9,90,4,515
15,10,10,4,515
15,11,80,4,515
15,12,10,4,515
15,13,83,4,515
15,14,91,4,515
15,15,34,4,515
15,16,74,4,515
15,17,92,4,515
15,18,92,4,515
15,19,38,4,515
15,20,1,4,515
16,1,66,3,530
16,2,86,3,530
16,3,76,3,530
16,4,14,3,530
16,5,73,3,530
16,6,83,3,530
16,7,63,3,530
16,8,72,3,530
16,9,14,3,530
16,10,100,3,530
16,11,92,3,530
16,12,93,3,530
16,13,62,3,530
16,14,12,3,530
16,15,35,3,530
16,16,18,3,530
16,17,96,3,530
16,18,54,3,530
16,19,13,3,530
16,20,6,3,530
17,1,96,7,187
17,2,75,7,187
17,3,85,7,187
17,4,92,7,187
17,5,68,7,187
17,6,2,7,187
17,7,40,7,187
17,8,44,7,187
17,9,67,7,187
17,10,9,7,187
17,11,45,7,187
17,12,56,7,187
17,13,35,7,187
17,14,68,7,187
17,15,71,7,187
17,16,22,7,187
17,17,38,7,187
17,18,19,7,187
17,19,38,7,187
17,20,7,7,187
18,1,4,1,801
18,2,79,1,801
18,3,63,1,801
